branch_id,branch_name,branch_type,address,city,province,region,manager_name,opening_date,is_active
BR001,LDR Jakarta,Warehouse,Jl. Sudirman No. 60,Jakarta,DKI Jakarta,Jabodetabek,Lestari Santoso,06/06/2016,1
BR002,LDR Jakarta Pusat,Sorting Center,Jl. Diponegoro No. 3,Jakarta Pusat,DKI Jakarta,Jabodetabek,Sari Gunawan,2022/09/18,True
BR003,LDR Bandung,Sorting Center,Jl. Pemuda No. 23,Bandung,Jawa Barat,West Java,Budi Santoso,05-03-2020,Yes
BR004,LDR Bogor,Outlet,Jl. Merdeka No. 21,Bogor,Jawa Barat,Jabodetabek,Sari Hartono,Mar 19 2020,Y
BR005,LDR Tangerang,Warehouse,Jl. Diponegoro No. 24,Tangerang,Banten,Jabodetabek,Maya Santoso,2020-05-03,Yes
BR006,LDR Bekasi,Main Branch,Jl. Sudirman No. 8,Bekasi,Jawa Barat,Jabodetabek,Fajar Wulandari,30/06/2022,Active
BR007,LDR Surabaya,Main Branch,Jl. Diponegoro No. 84,Surabaya,Jawa Timur,East Java,Budi Santoso,2016/11/11,True
BR008,LDR Malang,Warehouse,Jl. Thamrin No. 68,Malang,Jawa Timur,East Java,Putra Pratama,16-02-2021,Y
BR009,LDR Semarang,Warehouse,Jl. Merdeka No. 113,Semarang,Jawa Tengah,Central Java,Utami Wulandari,Nov 24 2016,Active
BR010,LDR Yogyakarta,Outlet,Jl. Diponegoro No. 10,Yogyakarta,DI Yogyakarta,Central Java,Tono Santoso,2024-03-02,Active
BR011,LDR Solo,Warehouse,Jl. Pemuda No. 6,Solo,Jawa Tengah,Central Java,Rani Gunawan,20/07/2021,True
BR012,LDR Denpasar,Warehouse,Jl. Sudirman No. 83,Denpasar,Bali,Bali Nusra,Citra Pratama,2016/12/08,True
BR013,LDR Medan,Main Branch,Jl. Diponegoro No. 55,Medan,Sumatera Utara,Sumatra,Putra Maulana,13-06-2019,Yes
BR014,LDR Palembang,Main Branch,Jl. Merdeka No. 116,Palembang,Sumatera Selatan,Sumatra,Dewi Pratama,Aug 23 2017,Yes
BR015,LDR Padang,Main Branch,Jl. Diponegoro No. 64,Padang,Sumatera Barat,Sumatra,Indra Hartono,2019-10-14,Active
