package_id,package_type,package_category,weight,weight_unit,length_cm,width_cm,height_cm,fragile_flag,insured_flag,item_description
PKG00001,Parcel,Medium,7.86,KG,85,37,69,No,1,Vehicle spare part
PKG00002,Document,Small,0.19,KG,110,48,9,Yes,No,Vehicle spare part
PKG00003,Cargo,Cargo,82.27,KG,101,19,53,0,N,Electronic accessory
PKG00004,Electronics,Medium,8.7,KG,116,17,61,0,0,Vehicle spare part
PKG00005,Parcel,Medium,8.25,KG,53,72,59,0,Y,Fashion item
PKG00006,Parcel,Medium,10.18,KG,18,50,61,N,No,Food product
PKG00007,Cargo,Cargo,68.59 kg,KG,109,34,17,1,No,Vehicle spare part
PKG00008,Fragile Goods,Medium,3.87,KG,46,22,50,1,No,Electronic accessory
PKG00009,Electronics,Medium,11.67,KG,34,16,53,Yes,0,Office supplies
PKG00010,Fragile Goods,Medium,5.17,KG,10,31,41,N,1,Household goods
PKG00011,Document,Small,1.6,KG,103,12,28,No,Y,Customer document
PKG00012,Parcel,Medium,7.76,KG,93,30,20,N,1,Office supplies
PKG00013,Cargo,Cargo,98.26,KG,70,56,22,N,0,Electronic accessory
PKG00014,Clothing,Small,0.48 kg,KG,15,21,9,No,Yes,Food product
PKG00015,Fragile Goods,Medium,6.4,KG,88,73,43,Yes,N,Fashion item
PKG00016,Cargo,Cargo,71.2,KG,49,45,8,No,Yes,Vehicle spare part
PKG00017,Fragile Goods,Medium,13.96,KG,120,58,37,0,Yes,Vehicle spare part
PKG00018,Spare Parts,Large,38.36,KG,100,50,40,0,N,Vehicle spare part
PKG00019,Document,Small,2.56,KG,19,26,29,Yes,Y,Electronic accessory
PKG00020,Electronics,Medium,11.14,KG,12,78,53,Yes,1,Fashion item
PKG00021,Parcel,Medium,10.3 kg,KG,104,9,55,0,No,Fashion item
PKG00022,Document,Small,1.09,KG,29,71,35,N,0,Fashion item
PKG00023,Cargo,Cargo,114.42,KG,33,50,32,Y,Y,Electronic accessory
PKG00024,Fragile Goods,Medium,10.14,KG,120,18,65,1,N,Vehicle spare part
PKG00025,Cargo,Cargo,87.36,KG,89,61,64,0,N,Vehicle spare part
PKG00026,Clothing,Small,0.62,KG,100,80,14,No,N,Fashion item
PKG00027,Electronics,Medium,12.44,KG,18,62,8,Y,1,Office supplies
PKG00028,Parcel,Medium,5.34 kg,KG,51,21,69,Yes,No,Office supplies
PKG00029,Food,Small,0.91,KG,72,44,58,N,No,Fashion item
PKG00030,Fragile Goods,Medium,6.67,KG,50,51,47,No,No,Electronic accessory
PKG00031,Document,Small,2.84,KG,97,68,9,No,Y,Customer document
PKG00032,Electronics,Medium,6.46,KG,81,65,33,Yes,No,Office supplies
PKG00033,Food,Small,0.56,KG,36,54,18,Yes,No,Electronic accessory
PKG00034,Spare Parts,Large,21.39,KG,104,57,67,0,Y,Food product
PKG00035,Fragile Goods,Medium,6.96 kg,KG,120,21,44,0,Y,Customer document
PKG00036,Food,Small,2.82,KG,31,21,13,0,No,Fashion item
PKG00037,Document,Small,2.29,KG,95,45,47,N,Y,Household goods
PKG00038,Cargo,Cargo,45.18,KG,105,24,46,Y,N,Customer document
PKG00039,Document,Small,2.21,KG,59,76,27,Y,1,Food product
PKG00040,Clothing,Small,2.65,KG,116,73,68,N,Y,Food product
PKG00041,Cargo,Cargo,60.14,KG,15,57,36,Yes,Yes,Office supplies
PKG00042,Electronics,Medium,6.92 kg,KG,115,15,25,Y,Y,Customer document
PKG00043,Document,Small,1.17,KG,34,12,43,0,Y,Electronic accessory
PKG00044,Electronics,Medium,13.16,KG,95,63,49,N,No,Vehicle spare part
PKG00045,Fragile Goods,Medium,14.34,KG,75,29,33,0,0,Household goods
PKG00046,Parcel,Medium,7.03,KG,52,74,26,Y,0,Household goods
PKG00047,Clothing,Small,2.22,KG,32,27,44,No,Y,Electronic accessory
PKG00048,Spare Parts,Large,33.81,KG,75,61,27,1,1,Household goods
PKG00049,Electronics,Medium,6.04 kg,KG,16,62,65,1,Y,Food product
PKG00050,Cargo,Cargo,49.32,KG,49,80,64,Yes,1,Food product
PKG00051,Fragile Goods,Medium,10.33,KG,63,21,56,N,Yes,Vehicle spare part
PKG00052,Electronics,Medium,5.86,KG,96,63,63,1,1,Food product
PKG00053,Document,Small,0.76,KG,76,71,25,No,No,Vehicle spare part
PKG00054,Fragile Goods,Medium,5.69,KG,60,33,40,No,N,Customer document
PKG00055,Spare Parts,Large,32.32,KG,60,30,58,Y,No,Household goods
PKG00056,Fragile Goods,Medium,6.93 kg,KG,113,20,31,Y,1,Office supplies
PKG00057,Food,Small,2.31,KG,107,27,66,N,No,Office supplies
PKG00058,Spare Parts,Large,36.15,KG,75,67,43,Yes,0,Food product
PKG00059,Fragile Goods,Medium,3.41,KG,116,33,10,No,No,Office supplies
PKG00060,Spare Parts,Large,26.86,KG,14,28,63,N,Y,Customer document
PKG00061,Cargo,Cargo,79.77,KG,34,11,53,Yes,N,Customer document
PKG00062,Fragile Goods,Medium,12.36,KG,112,23,69,0,Y,Household goods
PKG00063,Cargo,Cargo,63.78 kg,KG,79,40,55,Yes,No,Food product
PKG00064,Spare Parts,Large,18.49,KG,73,78,30,0,N,Household goods
PKG00065,Clothing,Small,1.17,KG,13,22,67,Y,No,Fashion item
PKG00066,Cargo,Cargo,49.06,KG,94,17,23,Yes,1,Office supplies
PKG00067,Document,Small,2.0,KG,75,21,59,0,1,Food product
PKG00068,Food,Small,2.84,KG,105,18,43,No,N,Office supplies
PKG00069,Food,Small,1.98,KG,21,68,5,No,Yes,Customer document
PKG00070,Parcel,Medium,9.47 kg,KG,60,68,27,Y,0,Customer document
PKG00071,Fragile Goods,Medium,5.62,KG,26,63,19,Yes,Yes,Electronic accessory
PKG00072,Document,Small,0.96,KG,64,75,25,N,1,Electronic accessory
PKG00073,Food,Small,1.06,KG,62,30,65,0,Y,Vehicle spare part
PKG00074,Clothing,Small,1.29,KG,55,31,53,0,Y,Household goods
PKG00075,Food,Small,2.38,KG,22,61,24,No,Yes,Food product
PKG00076,Cargo,Cargo,113.36,KG,76,18,38,0,0,Food product
PKG00077,Fragile Goods,Medium,9.73 kg,KG,16,33,3,No,Yes,Household goods
PKG00078,Clothing,Small,1.04,KG,55,21,29,No,Y,Customer document
PKG00079,Spare Parts,Large,15.96,KG,100,12,63,0,1,Electronic accessory
PKG00080,Fragile Goods,Medium,10.93,KG,82,41,9,0,0,Fashion item
PKG00081,Electronics,Medium,14.61,KG,97,64,44,Yes,1,Office supplies
PKG00082,Clothing,Small,2.66,KG,99,21,66,N,No,Electronic accessory
PKG00083,Spare Parts,Large,21.26,KG,115,40,63,0,0,Office supplies
PKG00084,Electronics,Medium,14.49 kg,KG,86,33,44,N,Yes,Customer document
PKG00085,Spare Parts,Large,33.49,KG,17,56,13,1,No,Fashion item
PKG00086,Cargo,Cargo,91.88,KG,54,24,70,1,0,Vehicle spare part
PKG00087,Fragile Goods,Medium,5.86,KG,108,40,22,1,Y,Electronic accessory
PKG00088,Electronics,Medium,11.89,KG,80,57,33,Y,No,Household goods
PKG00089,Electronics,Medium,14.95,KG,15,58,20,Y,1,Office supplies
PKG00090,Document,Small,0.66,KG,75,39,51,Y,Yes,Electronic accessory
PKG00091,Fragile Goods,Medium,5.89 kg,KG,22,60,14,No,Y,Household goods
PKG00092,Parcel,Medium,4.28,KG,37,55,62,1,No,Household goods
PKG00093,Food,Small,2.88,KG,71,31,28,Y,Yes,Food product
PKG00094,Electronics,Medium,7.06,KG,82,39,8,Y,No,Customer document
PKG00095,Spare Parts,Large,37.29,KG,66,31,29,N,1,Fashion item
PKG00096,Cargo,Cargo,50.67,KG,23,16,53,Yes,No,Office supplies
PKG00097,Food,Small,2.7,KG,120,56,61,Y,Y,Electronic accessory
PKG00098,Spare Parts,Large,33.91 kg,KG,29,12,21,Yes,Yes,Vehicle spare part
PKG00099,Food,Small,1.2,KG,42,25,5,Y,1,Vehicle spare part
PKG00100,Spare Parts,Large,24.15,KG,12,20,24,Yes,Yes,Fashion item
PKG00101,Document,Small,2.37,KG,51,17,60,Yes,Y,Office supplies
PKG00102,Fragile Goods,Medium,14.82,KG,94,41,6,0,0,Fashion item
PKG00103,Cargo,Cargo,80.67,KG,110,61,52,N,N,Household goods
PKG00104,Spare Parts,Large,36.64,KG,43,63,5,Yes,N,Food product
PKG00105,Parcel,Medium,10.66 kg,KG,68,59,65,N,1,Office supplies
PKG00106,Clothing,Small,2.41,KG,105,62,62,Y,1,Electronic accessory
PKG00107,Fragile Goods,Medium,7.76,KG,20,80,46,N,N,Fashion item
PKG00108,Clothing,Small,0.48,KG,23,20,54,No,No,Fashion item
PKG00109,Clothing,Small,0.59,KG,62,29,37,Yes,N,Fashion item
PKG00110,Parcel,Medium,6.26,KG,35,75,63,N,0,Office supplies
PKG00111,Document,Small,1.84,KG,97,61,34,0,No,Customer document
PKG00112,Food,Small,1.85 kg,KG,33,41,23,Yes,Y,Office supplies
PKG00113,Electronics,Medium,3.96,KG,23,52,55,N,Y,Office supplies
PKG00114,Electronics,Medium,5.73,KG,82,66,44,Yes,1,Fashion item
PKG00115,Cargo,Cargo,60.67,KG,109,72,3,Yes,Y,Vehicle spare part
PKG00116,Spare Parts,Large,38.37,KG,99,9,64,No,0,Food product
PKG00117,Electronics,Medium,5.06,KG,77,73,44,No,No,Office supplies
PKG00118,Fragile Goods,Medium,4.36,KG,59,60,60,Y,Y,Fashion item
PKG00119,Clothing,Small,0.71 kg,KG,89,22,3,1,1,Food product
PKG00120,Spare Parts,Large,22.43,KG,29,25,7,Yes,No,Customer document
PKG00121,Electronics,Medium,9.06,KG,92,27,40,Yes,No,Electronic accessory
PKG00122,Fragile Goods,Medium,13.59,KG,88,39,21,Y,1,Vehicle spare part
PKG00123,Cargo,Cargo,112.2,KG,43,71,9,N,N,Office supplies
PKG00124,Clothing,Small,2.87,KG,41,69,8,Yes,No,Fashion item
PKG00125,Document,Small,0.26,KG,54,37,62,N,No,Electronic accessory
PKG00126,Spare Parts,Large,27.4 kg,KG,74,59,35,No,No,Office supplies
PKG00127,Cargo,Cargo,93.84,KG,52,24,46,No,1,Customer document
PKG00128,Food,Small,0.78,KG,106,77,14,N,N,Household goods
PKG00129,Food,Small,2.08,KG,22,36,59,Y,Yes,Customer document
PKG00130,Cargo,Cargo,56.41,KG,52,35,49,Y,No,Household goods
PKG00131,Fragile Goods,Medium,10.61,KG,99,23,41,N,1,Vehicle spare part
PKG00132,Spare Parts,Large,21.84,KG,63,57,20,0,Y,Food product
PKG00133,Spare Parts,Large,27.06 kg,KG,25,70,4,Y,Y,Household goods
PKG00134,Cargo,Cargo,63.65,KG,120,42,24,No,N,Food product
PKG00135,Fragile Goods,Medium,12.42,KG,74,36,24,0,No,Fashion item
PKG00136,Clothing,Small,0.28,KG,113,60,30,Y,N,Electronic accessory
PKG00137,Spare Parts,Large,16.78,KG,26,30,14,Yes,N,Electronic accessory
PKG00138,Parcel,Medium,9.35,KG,114,17,68,Y,No,Household goods
PKG00139,Fragile Goods,Medium,5.91,KG,102,29,40,Y,0,Vehicle spare part
PKG00140,Spare Parts,Large,36.28 kg,KG,112,26,28,N,0,Fashion item
PKG00141,Fragile Goods,Medium,11.43,KG,15,35,26,0,No,Fashion item
PKG00142,Spare Parts,Large,30.73,KG,62,28,30,No,1,Electronic accessory
PKG00143,Document,Small,1.24,KG,22,37,13,Yes,Yes,Customer document
PKG00144,Document,Small,0.37,KG,31,61,10,0,N,Electronic accessory
PKG00145,Fragile Goods,Medium,7.41,KG,62,25,3,N,No,Fashion item
PKG00146,Cargo,Cargo,69.05,KG,94,13,33,No,Y,Food product
PKG00147,Fragile Goods,Medium,14.08 kg,KG,113,31,32,0,Y,Fashion item
PKG00148,Fragile Goods,Medium,9.69,KG,69,44,10,1,No,Household goods
PKG00149,Document,Small,1.46,KG,50,56,17,1,Yes,Electronic accessory
PKG00150,Cargo,Cargo,97.93,KG,115,73,19,No,N,Electronic accessory
PKG00151,Spare Parts,Large,19.1,KG,70,32,23,0,No,Vehicle spare part
PKG00152,Parcel,Medium,3.66,KG,66,25,43,No,N,Electronic accessory
PKG00153,Food,Small,2.62,KG,21,37,27,1,1,Office supplies
PKG00154,Electronics,Medium,6.56 kg,KG,80,77,20,N,1,Fashion item
PKG00155,Cargo,Cargo,41.32,KG,89,74,63,1,Y,Fashion item
PKG00156,Electronics,Medium,13.44,KG,58,25,44,Y,N,Fashion item
PKG00157,Electronics,Medium,5.13,KG,77,50,58,Y,0,Customer document
PKG00158,Food,Small,1.76,KG,20,9,32,Yes,N,Food product
PKG00159,Fragile Goods,Medium,13.23,KG,101,61,35,1,No,Household goods
PKG00160,Cargo,Cargo,44.45,KG,39,37,33,Yes,0,Food product
PKG00161,Cargo,Cargo,47.05 kg,KG,110,56,20,1,N,Vehicle spare part
PKG00162,Parcel,Medium,10.53,KG,115,36,51,Y,1,Household goods
PKG00163,Spare Parts,Large,22.75,KG,16,60,66,Yes,Y,Food product
PKG00164,Document,Small,0.61,KG,60,13,46,1,No,Household goods
PKG00165,Food,Small,1.79,KG,84,28,67,Yes,Yes,Customer document
PKG00166,Document,Small,0.47,KG,97,76,34,N,1,Fashion item
PKG00167,Document,Small,1.86,KG,11,24,63,1,0,Food product
PKG00168,Clothing,Small,2.69 kg,KG,92,39,48,N,Yes,Vehicle spare part
PKG00169,Fragile Goods,Medium,6.8,KG,19,65,66,1,Y,Household goods
PKG00170,Document,Small,1.94,KG,106,66,70,0,1,Customer document
PKG00171,Parcel,Medium,6.54,KG,101,34,27,Y,No,Vehicle spare part
PKG00172,Document,Small,0.28,KG,63,25,67,Yes,Y,Electronic accessory
PKG00173,Cargo,Cargo,111.03,KG,33,28,47,Y,0,Vehicle spare part
PKG00174,Cargo,Cargo,41.39,KG,109,18,5,No,No,Office supplies
PKG00175,Clothing,Small,2.49 kg,KG,65,67,19,No,Y,Food product
PKG00176,Parcel,Medium,14.42,KG,40,70,58,Yes,No,Food product
PKG00177,Clothing,Small,1.29,KG,88,23,26,Y,Y,Fashion item
PKG00178,Clothing,Small,2.64,KG,102,17,29,No,1,Food product
PKG00179,Cargo,Cargo,101.74,KG,44,38,44,Yes,Yes,Household goods
PKG00180,Fragile Goods,Medium,9.66,KG,12,58,49,Y,Yes,Fashion item
PKG00181,Spare Parts,Large,19.19,KG,111,30,48,0,1,Fashion item
PKG00182,Cargo,Cargo,91.65 kg,KG,31,42,43,Yes,Yes,Customer document
PKG00183,Clothing,Small,0.15,KG,13,20,11,N,N,Office supplies
PKG00184,Fragile Goods,Medium,3.7,KG,76,68,29,Yes,No,Vehicle spare part
PKG00185,Document,Small,1.05,KG,110,60,65,No,No,Electronic accessory
PKG00186,Document,Small,0.5,KG,17,14,52,No,N,Customer document
PKG00187,Cargo,Cargo,78.83,KG,39,18,34,N,N,Electronic accessory
PKG00188,Document,Small,2.99,KG,77,75,34,N,N,Household goods
PKG00189,Clothing,Small,1.08 kg,KG,115,77,28,1,Y,Customer document
PKG00190,Food,Small,0.18,KG,109,44,34,N,0,Electronic accessory
PKG00191,Spare Parts,Large,19.16,KG,81,55,42,No,Y,Food product
PKG00192,Cargo,Cargo,77.73,KG,97,76,44,Y,Y,Vehicle spare part
PKG00193,Document,Small,2.85,KG,21,65,55,1,1,Food product
PKG00194,Food,Small,1.71,KG,39,24,21,No,Y,Office supplies
PKG00195,Parcel,Medium,14.35,KG,107,25,10,No,Yes,Customer document
PKG00196,Fragile Goods,Medium,12.45 kg,KG,80,58,10,Y,N,Fashion item
PKG00197,Food,Small,2.88,KG,46,57,69,Yes,Yes,Household goods
PKG00198,Cargo,Cargo,89.83,KG,92,69,26,No,1,Vehicle spare part
PKG00199,Document,Small,0.85,KG,25,11,20,Yes,Y,Office supplies
PKG00200,Spare Parts,Large,35.24,KG,44,57,23,Yes,No,Household goods
PKG00201,Document,Small,2.21,KG,72,41,63,Yes,0,Office supplies
PKG00202,Food,Small,1.44,KG,104,41,17,Y,Yes,Household goods
PKG00203,Cargo,Cargo,103.43 kg,KG,111,16,31,1,N,Household goods
PKG00204,Parcel,Medium,6.69,KG,41,80,45,N,0,Office supplies
PKG00205,Cargo,Cargo,87.75,KG,41,55,51,1,No,Office supplies
PKG00206,Spare Parts,Large,22.16,KG,30,27,64,1,Yes,Household goods
PKG00207,Electronics,Medium,7.01,KG,36,34,56,Y,Y,Household goods
PKG00208,Food,Small,2.21,KG,120,14,49,N,Yes,Office supplies
PKG00209,Fragile Goods,Medium,4.96,KG,111,75,22,0,N,Vehicle spare part
PKG00210,Parcel,Medium,4.17 kg,KG,16,50,54,0,Y,Customer document
PKG00211,Fragile Goods,Medium,12.38,KG,110,20,33,0,Y,Electronic accessory
PKG00212,Fragile Goods,Medium,10.49,KG,30,63,69,Y,0,Vehicle spare part
PKG00213,Electronics,Medium,12.6,KG,17,16,39,0,Y,Fashion item
PKG00214,Food,Small,1.94,KG,28,61,3,1,Yes,Office supplies
PKG00215,Parcel,Medium,11.63,KG,68,23,9,N,N,Household goods
PKG00216,Electronics,Medium,6.03,KG,41,62,20,0,1,Office supplies
PKG00217,Fragile Goods,Medium,9.62 kg,KG,69,23,49,Y,Yes,Household goods
PKG00218,Electronics,Medium,8.15,KG,99,70,50,1,N,Fashion item
PKG00219,Parcel,Medium,14.23,KG,33,47,70,Y,Yes,Customer document
PKG00220,Food,Small,0.55,KG,64,77,32,No,No,Food product
PKG00221,Fragile Goods,Medium,6.04,KG,102,28,54,N,Yes,Office supplies
PKG00222,Food,Small,2.37,KG,20,21,31,No,0,Customer document
